Periodo,Pi,U
2022/10,8.41,3.213897921
2022/11,7.8,2.956029591
2022/12,7.82,2.942586344
2023/01,7.91,2.894693531
2023/02,7.62,2.79528823
2023/03,6.85,2.786578325
2023/04,6.25,2.845375638
2023/05,5.84,2.948757675
2023/06,5.06,2.685871455
2023/07,4.79,2.878658879
2023/08,4.64,2.726922739
2023/09,4.45,2.717228794
2023/10,4.26,2.671791337
2023/11,4.32,2.812234089
2023/12,4.66,2.786105714
2024/01,4.88,2.757186155
